product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Cotton Tanga Mini Knickers, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/cotton-frill-bra-and-tanga-knickers-set-6622346,US TOPSHOP,Lingerie,Topshop US,A set of flattering white cotton tanga mini knickers and matching frilly bra set. 100% Cotton. Machine wash.,,,,"2,4,6,8,10,12","2,4,6,8,10,12",
Cotton Triangle Bra, $40.00, $40.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/cotton-frill-bra-and-tanga-knickers-set-6622346,US TOPSHOP,Lingerie,Topshop US,A set of flattering white cotton tanga mini knickers and matching frilly bra set. 100% Cotton. Machine wash.,,,,"2,4,6,8,10,12",8,
Lace Triangle Bra, $30.00, $30.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lace-triangle-bra-6584097,US TOPSHOP,Lingerie,Topshop US,"Add a colour pop to your underwear drawer with this chartreuse lace triangle bra with charcoal contrast waistband. Complete the look with the matching knickers. 85% Nylon, 15% Elastane. Machine wash.",5.0,1.0,,"2,4,6,8,10,12,14","2,4,8,12",CHARTREUSE
**MATERNITY Lace and Mesh Nursing Bra, $35.00, $35.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-lace-and-mesh-nursing-bra-5408055,US TOPSHOP,Lingerie,Topshop US,"Add a fresh, feminine touch to your lingerie with this lace and mesh detail bra. With a classic hook fastening at the back and adjustable straps. Designed to wear through pregnancy and beyond . 90% Polyamide, 10% Elastane. Machine wash.",5.0,1.0,,"34B,34C,34D,34DD,36B,36C,36D,36DD",36B,Pale Pink
Sporty Branded Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/sporty-branded-bra-and-thong-set-6564783,US TOPSHOP,Lingerie,Topshop US,"Add a sporty feel to your lingerie collection with this comfy bra and thong duo. Each piece features subtle 'Topshop' branding. 49% Polyamide, 39% Polyester, 12% Elastane. Machine wash.",,,,"S,M,L",M,
Sporty Branded Bra, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/sporty-branded-bra-and-thong-set-6564783,US TOPSHOP,Lingerie,Topshop US,"Add a sporty feel to your lingerie collection with this comfy bra and thong duo. Each piece features subtle 'Topshop' branding. 49% Polyamide, 39% Polyester, 12% Elastane. Machine wash.",,,,"S,M,L","S,M,L",
Lace Balcony Bra, $35.00, $35.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lace-balcony-bra-6581572,US TOPSHOP,Lingerie,Topshop US,"Aqua lace balcony bra. 89% Nylon, 11% Elastane. Machine wash.",,,,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,36A,36B,36C","32B,32C,32D,34A,34B,34C,34D,36B,36C",AQUA
Underwired Lace Bra, $35.00, $35.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/underwired-lace-bra-thong-set-6645647,US TOPSHOP,Lingerie,Topshop US,"Aqua underwired lace bra and thong set. 89% Nylon, 11% Elastane. Machine wash.",,,,"32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,32DD","32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C",
Floral Print Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-print-thong-6549404,US TOPSHOP,Lingerie,Topshop US,"Blue floral print thong. 86% Polyamide, 14% Elastane. Machine wash.",,,,"2,4,6,8,10,12",8,PALE BLUE
Floral Print Bird Thong, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-print-bird-thong-6764361,US TOPSHOP,Lingerie,Topshop US,"Blue thong with foral bird print. 86% Polyamide, 14% Elastane. Machine wash.",5.0,1.0,,"2,4,6,8,10,12","2,10",BLUE
